Action,Name,Points,GameMode,Timestamp
TriggerXAssertsByTestsAchievement,Assert and Tested,7,LEADERBOARD,2025-11-06 14:48:04.499
TriggerXAssertsByTestsAchievement,Assert and Tested,11,LEADERBOARD,2025-11-06 14:53:35.942
TriggerXAssertsByTestsAchievement,Assert and Tested,8,LEADERBOARD,2025-11-06 15:04:28.591
TriggerXAssertsByTestsAchievement,Assert and Tested,9,LEADERBOARD,2025-11-06 15:07:27.098
TriggerXAssertsByTestsAchievement,Assert and Tested,5,LEADERBOARD,2025-11-06 15:14:33.842
TriggerXAssertsByTestsAchievement,Assert and Tested,7,LEADERBOARD,2025-11-06 15:18:33.983
TriggerXAssertsByTestsAchievement,Assert and Tested,9,LEADERBOARD,2025-11-06 15:28:21.242
TriggerXAssertsByTestsAchievement,Assert and Tested,11,LEADERBOARD,2025-11-06 15:38:28.94
TriggerXAssertsByTestsAchievement,Assert and Tested,6,LEADERBOARD,2025-11-06 15:42:21.88
TriggerXAssertsByTestsAchievement,Assert and Tested,12,LEADERBOARD,2025-11-06 15:45:27.355
TriggerXAssertsByTestsAchievement,Assert and Tested,15,LEADERBOARD,2025-11-06 15:53:47.042
TriggerXAssertsByTestsAchievement,Assert and Tested,16,LEADERBOARD,2025-11-06 16:04:53.936
TriggerXAssertsByTestsAchievement,Assert and Tested,6,LEADERBOARD,2025-11-06 16:25:16.847
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-06 16:31:21.933
TriggerXAssertsByTestsAchievement,Assert and Tested,17,LEADERBOARD,2025-11-06 16:41:10.448
TriggerXAssertsByTestsAchievement,Assert and Tested,4,LEADERBOARD,2025-11-08 11:27:47.392
TriggerXAssertsByTestsAchievement,Assert and Tested,6,LEADERBOARD,2025-11-08 11:27:47.684
TriggerXAssertsByTestsAchievement,Assert and Tested,17,LEADERBOARD,2025-11-08 11:27:47.737
TriggerXAssertsByTestsAchievement,Assert and Tested,16,LEADERBOARD,2025-11-08 11:27:47.747
TriggerXAssertsByTestsAchievement,Assert and Tested,6,LEADERBOARD,2025-11-08 11:27:47.759
TriggerXAssertsByTestsAchievement,Assert and Tested,6,LEADERBOARD,2025-11-08 11:27:47.79
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-08 11:27:47.795
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-11-08 11:27:47.815
CoverXLinesAchievement,Line-by-line,9,LEADERBOARD,2025-11-08 11:27:48.181
CoverXMethodsAchievement,Check your methods,1,LEADERBOARD,2025-11-08 11:27:48.185
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-11-08 11:27:48.186
CoverXBranchesAchievement,Check your branches,6,LEADERBOARD,2025-11-08 11:27:48.207
